"Monitor PT1000 Minus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1292628384000","18.89"
"1292629082000","18.92"
"1292629547000","18.89"
"1292630012000","18.92"
"1292630244000","18.89"
"1292630477000","18.92"
"1292631407000","18.89"
"1292631872000","18.92"
"1292633499000","18.89"
"1292634197000","18.92"
"1292634429000","18.89"
"1292634894000","18.92"
"1292635127000","18.89"
"1292635359000","18.92"
"1292635592000","18.89"
"1292636057000","18.92"
"1292637219000","18.89"
"1292637452000","18.92"
"1292637684000","18.89"
"1292638149000","18.92"
"1292638382000","18.89"
"1292638847000","18.92"
"1292640707000","18.89"
"1292641172000","18.92"
"1292641404000","18.89"
"1292641869000","18.92"
"1292642334000","18.89"
"1292642567000","18.92"
"1292646054000","18.89"
"1292646519000","18.92"
"1292646752000","18.89"
"1292647217000","18.92"
"1292647914000","18.89"
"1292648379000","18.92"
"1292648844000","18.89"
"1292649542000","18.92"
"1292649774000","18.89"
"1292650239000","18.92"
"1292650704000","18.89"
"1292652099000","18.92"
"1292652332000","18.89"
"1292652797000","18.92"
"1292653029000","18.89"
"1292653494000","18.92"
"1292653727000","18.89"
"1292657912000","18.92"
"1292658377000","18.89"
"1292659772000","18.92"
"1292660004000","18.89"
"1292666979000","18.92"
"1292667212000","18.89"
"1292668374000","18.92"
"1292668607000","18.89"
"1292670002000","18.92"
"1292670234000","18.89"
"1292676279000","18.92"
"1292676512000","18.89"
"1292676744000","18.92"
"1292677209000","18.89"
"1292680464000","18.92"
"1292680697000","18.89"
"1292681627000","18.92"
"1292681859000","18.89"
"1292682324000","18.92"
"1292682557000","18.89"
"1292683254000","18.92"
"1292683487000","18.89"
"1292683719000","18.92"
"1292683952000","18.89"
"1292685579000","18.92"
"1292686044000","18.89"
"1292686277000","18.92"
"1292687207000","18.89"
"1292687439000","18.92"
"1292687672000","18.89"
"1292687904000","18.92"
"1292688137000","18.89"
"1292688369000","18.92"
"1292688834000","18.89"
"1292689067000","18.92"
"1292689299000","18.89"
"1292689532000","18.92"
"1292689764000","18.89"
"1292689997000","18.92"
"1292690694000","18.89"
"1292691624000","18.92"
"1292691857000","18.89"
"1292694182000","18.87"
"1292694414000","18.89"
"1292699064000","18.92"
"1292699297000","18.89"
"1292704644000","18.87"
"1292704877000","18.89"
"1292706039000","18.92"
"1292706272000","18.89"
"1292707434000","18.87"
"1292707667000","18.89"
"1292709294000","18.87"
"1292710224000","18.89"
"1292710457000","18.87"
"1292713014000","18.89"
"1292714177000","18.87"
"1292714642000","18.89"
"1292714874000","18.87"
"1292715804000","18.89"
"1292716037000","18.87"
"1292716269000","18.89"
"1292716734000","18.87"
"1292716967000","18.89"
"1292717664000","18.87"
"1292717897000","18.89"
"1292718362000","18.87"
"1292718827000","18.89"
"1292719757000","18.87"
"1292719989000","18.89"
"1292720222000","18.87"
"1292720919000","18.89"
"1292721617000","18.87"
"1292722082000","18.89"
"1292722314000","18.87"
"1292722547000","18.89"
"1292723012000","18.87"
"1292723244000","18.89"
