"Monitor PT1000 Plus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1292705567000","18.94"
"1292707022000","18.96"
"1292707507000","18.94"
"1292707749000","18.96"
"1292711144000","18.94"
"1292711387000","18.96"
"1292711629000","18.94"
"1292711872000","18.96"
"1292712114000","18.94"
"1292712842000","18.96"
"1292713812000","18.94"
"1292714054000","18.96"
"1292714539000","18.94"
"1292714782000","18.96"
"1292715024000","18.94"
"1292715267000","18.96"
"1292715509000","18.94"
"1292716479000","18.96"
"1292716722000","18.94"
"1292716964000","18.96"
"1292717207000","18.94"
"1292717449000","18.96"
"1292717692000","18.94"
"1292717934000","18.96"
"1292721329000","18.94"
"1292721814000","18.96"
"1292722542000","18.94"
"1292722784000","18.96"
"1292723269000","18.94"
"1292723512000","18.96"
"1292724724000","18.94"
"1292724967000","18.96"
"1292725209000","18.94"
"1292725937000","18.96"
"1292726179000","18.94"
"1292726664000","18.96"
"1292727634000","18.94"
"1292728847000","18.96"
"1292729089000","18.94"
"1292730302000","18.96"
"1292731029000","18.94"
"1292731514000","18.96"
"1292732242000","18.94"
"1292732969000","18.96"
"1292734424000","18.94"
"1292734667000","18.96"
"1292735394000","18.94"
"1292735637000","18.96"
"1292735879000","18.94"
"1292736364000","18.96"
"1292736607000","18.94"
"1292738062000","18.96"
"1292738304000","18.94"
"1292738547000","18.96"
"1292738789000","18.94"
"1292740244000","18.96"
"1292740487000","18.94"
"1292741457000","18.96"
"1292741699000","18.94"
"1292741942000","18.96"
"1292742427000","18.94"
"1292742669000","18.96"
"1292742912000","18.94"
"1292743639000","18.96"
"1292743882000","18.94"
"1292746549000","18.96"
"1292746792000","18.94"
"1292747277000","18.96"
"1292747762000","18.94"
"1292748489000","18.96"
"1292748732000","18.94"
"1292749217000","18.96"
"1292749459000","18.94"
"1292749702000","18.96"
"1292749944000","18.94"
"1292750187000","18.96"
"1292750914000","18.94"
"1292751399000","18.96"
"1292751642000","18.94"
"1292751884000","18.96"
"1292752127000","18.94"
"1292752612000","18.96"
"1292752854000","18.94"
"1292753097000","18.96"
"1292753339000","18.94"
"1292753824000","18.96"
"1292754067000","18.94"
"1292754552000","18.96"
"1292755037000","18.94"
"1292755279000","18.96"
"1292756249000","18.94"
"1292756734000","18.96"
"1292756977000","18.94"
"1292757704000","18.96"
"1292757947000","18.94"
"1292758189000","18.96"
"1292758917000","18.94"
"1292759159000","18.96"
"1292759644000","18.94"
"1292759887000","18.96"
"1292760857000","18.94"
"1292761099000","18.96"
"1292761342000","18.94"
"1292761584000","18.96"
"1292763524000","18.94"
"1292764009000","18.96"
"1292764252000","18.94"
"1292766434000","18.92"
"1292766677000","18.94"
"1292766919000","18.96"
"1292767162000","18.94"
"1292768617000","18.96"
"1292769344000","18.94"
"1292770072000","18.96"
"1292770314000","18.94"
"1292770799000","18.96"
"1292771284000","18.94"
"1292771527000","18.96"
"1292771769000","18.94"
"1292772497000","18.96"
"1292772982000","18.94"
"1292773224000","18.96"
"1292774437000","18.94"
"1292774922000","18.96"
"1292777104000","18.94"
"1292777589000","18.96"
"1292779287000","18.94"
"1292779529000","18.96"
"1292781954000","18.94"
"1292782197000","18.96"
"1292784622000","18.94"
"1292784864000","18.96"
"1292787774000","18.94"
"1292788017000","18.96"
"1292792867000","18.94"
"1292793109000","18.96"
"1292798687000","18.98"
"1292798929000","18.96"
"1292799657000","18.94"
"1292799899000","18.96"
"1292801112000","18.94"
"1292801354000","18.96"
"1292804264000","18.94"
"1292804507000","18.96"
"1292805719000","18.94"
"1292805962000","18.96"
"1292807417000","18.94"
